_id,location,year,month,day,mean_windspeed,wind_direction,mean_tempurature,humidity,rainfall,duration,color
6631e2b4aa38843775c153d7,Sha Tin,2019,9,1,11.4,20,28.7,76,23.5,0,Green
6631e2b4aa38843775c153d9,Sha Tin,2019,9,3,12,70,28.7,77,20,0,Green
6631e2b4aa38843775c153df,Sha Tin,2019,9,9,4,80,29.5,79,1,0,Green
6631e2b4aa38843775c153e8,Sha Tin,2019,9,18,4.8,20,28.8,77,12.5,405,Amber
6631e2b4aa38843775c153e9,Sha Tin,2019,9,19,5.5,30,28.2,71,11.5,0,Green
6631e2b4aa38843775c153ea,Sha Tin,2019,9,20,5.9,40,27.8,58,0,0,Green
6631e2b4aa38843775c153ec,Sha Tin,2019,9,22,12.3,10,28.5,37,0,0,Green
6631e2b4aa38843775c153ed,Sha Tin,2019,9,23,6.7,20,27,58,0,0,Green
6631e2b4aa38843775c153ee,Sha Tin,2019,9,24,6.2,10,26.5,73,0,0,Green
6631e2b4aa38843775c153f1,Sha Tin,2019,9,27,4.4,170,26.8,74,0,0,Green
6631e2b4aa38843775c153fc,Sha Tin,2019,10,8,6.3,120,27.7,77,0,0,Green
6631e2b4aa38843775c15402,Sha Tin,2019,10,14,6.9,40,26,81,72,0,Green
6631e2b4aa38843775c15405,Sha Tin,2019,10,17,6.2,20,25.6,69,0,0,Green
6631e2b4aa38843775c15408,Sha Tin,2019,10,20,5.7,150,24.9,75,8,0,Green
6631e2b4aa38843775c15410,Sha Tin,2019,10,28,5.7,50,24.3,76,0,0,Green
6631e2b4aa38843775c15411,Sha Tin,2019,10,29,7.2,40,21.9,64,0.5,0,Green
6631e2b4aa38843775c15413,Sha Tin,2019,10,31,7.2,20,24.5,62,0,0,Green
6631e2b4aa38843775c1541b,Sha Tin,2019,11,8,10.7,30,23.3,46,0,0,Green
6631e2b4aa38843775c1541c,Sha Tin,2019,11,9,8.5,30,22.3,57,0,0,Green
6631e2b4aa38843775c1541d,Sha Tin,2019,11,10,4.8,30,21.5,69,0,0,Green
6631e2b4aa38843775c1541f,Sha Tin,2019,11,12,4.7,120,22.7,76,0,0,Green
6631e2b4aa38843775c153e5,Sha Tin,2019,9,15,4,100,28.9,77,7.5,0,Green
6631e2b4aa38843775c153e6,Sha Tin,2019,9,16,4.8,30,29.1,76,5.5,0,Green
6631e2b4aa38843775c153f2,Sha Tin,2019,9,28,4.2,180,27.3,74,0,0,Green
6631e2b4aa38843775c153f9,Sha Tin,2019,10,5,4.4,90,28.1,72,0,0,Green
6631e2b4aa38843775c153fa,Sha Tin,2019,10,6,8,50,26.6,76,38,0,Green
6631e2b4aa38843775c153fb,Sha Tin,2019,10,7,7.4,10,26.6,81,30.5,0,Green
6631e2b4aa38843775c153fe,Sha Tin,2019,10,10,4.8,140,27.5,76,0,0,Green
